class_id,class_name,category,original_count,target_count,final_count,added
0,forb_ahead,sufficient,97,97,230,133
1,forb_left,sufficient,79,79,92,13
2,forb_overtake,sufficient,93,93,135,42
3,forb_right,sufficient,74,74,106,32
4,forb_speed_over_10,low,16,100,187,171
5,forb_speed_over_100,low,46,100,152,106
6,forb_speed_over_130,low,23,100,111,88
7,forb_speed_over_20,critical,2,150,156,154
8,forb_speed_over_30,sufficient,156,156,200,44
9,forb_speed_over_40,low,31,100,130,99
10,forb_speed_over_5,low,19,100,103,84
11,forb_speed_over_50,sufficient,110,110,126,16
12,forb_speed_over_60,low,46,100,185,139
13,forb_speed_over_70,sufficient,75,75,136,61
14,forb_speed_over_80,sufficient,51,51,112,61
15,forb_speed_over_90,low,31,100,142,111
16,forb_stopping,sufficient,128,128,287,159
17,forb_trucks,critical,4,150,164,160
18,forb_u_turn,low,13,100,110,97
19,forb_weight_over_3.5t,sufficient,66,66,89,23
20,forb_weight_over_7.5t,low,16,100,103,87
21,info_bus_station,low,45,100,171,126
22,info_crosswalk,sufficient,327,327,848,521
23,info_highway,sufficient,52,52,132,80
24,info_one_way_traffic,sufficient,126,126,267,141
25,info_parking,sufficient,123,123,277,154
26,info_taxi_parking,critical,5,150,211,206
27,mand_bike_lane,low,22,100,101,79
28,mand_left,low,24,100,120,96
29,mand_left_right,critical,6,150,150,144
30,mand_pass_left,low,38,100,281,243
31,mand_pass_left_right,sufficient,97,97,239,142
32,mand_pass_right,sufficient,105,105,151,46
33,mand_right,sufficient,111,111,167,56
34,mand_roundabout,sufficient,65,65,81,16
35,mand_straigh_left,low,31,100,108,77
36,mand_straight,low,39,100,156,117
37,mand_straight_right,low,43,100,155,112
38,prio_give_way,sufficient,206,206,479,273
39,prio_priority_road,sufficient,54,54,95,41
40,prio_stop,sufficient,177,177,339,162
41,warn_children,low,46,100,121,75
42,warn_construction,low,37,100,289,252
43,warn_crosswalk,sufficient,113,113,233,120
44,warn_cyclists,low,46,100,138,92
45,warn_domestic_animals,low,12,100,104,92
46,warn_other_dangers,low,32,100,148,116
47,warn_poor_road_surface,low,43,100,146,103
48,warn_roundabout,sufficient,73,73,77,4
49,warn_slippery_road,low,12,100,150,138
50,warn_speed_bumper,low,49,100,178,129
51,warn_traffic_light,low,49,100,116,67
52,warn_tram,low,20,100,118,98
53,warn_two_way_traffic,low,35,100,117,82
54,warn_wild_animals,sufficient,63,63,140,77
