epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1393,0.82338,5.20841,0.95176,0.01181,0.43473,0.04045,0.03558,0.62723,3.53524,0.865,5.59603e-05,5.59603e-05,5.59603e-05
2,71.306,0.82122,4.28846,0.9617,0.46852,0.11192,0.08641,0.07576,0.61695,2.62043,0.87771,0.000111182,0.000111182,0.000111182
3,102.555,0.82243,3.68438,0.96307,0.44986,0.16917,0.14636,0.12716,0.61586,2.2105,0.87889,0.000165288,0.000165288,0.000165288
4,131.551,0.80641,3.20873,0.95774,0.46434,0.2632,0.20885,0.17929,0.61031,1.85048,0.88203,0.000163981,0.000163981,0.000163981
5,161.533,0.78413,2.91073,0.95912,0.49269,0.28187,0.25817,0.22323,0.5967,1.61895,0.88702,0.000162308,0.000162308,0.000162308
6,190.791,0.77507,2.6099,0.95708,0.67811,0.26144,0.30807,0.26785,0.58416,1.50106,0.87877,0.000160635,0.000160635,0.000160635
7,220.652,0.74496,2.42355,0.94716,0.51391,0.35341,0.34914,0.30047,0.59622,1.36655,0.88981,0.000158961,0.000158961,0.000158961
8,255.238,0.73781,2.28991,0.94387,0.5366,0.37249,0.35217,0.30578,0.57338,1.34899,0.87914,0.000157288,0.000157288,0.000157288
9,291.217,0.72595,2.15758,0.93391,0.43142,0.46185,0.3973,0.34178,0.57434,1.25318,0.88049,0.000155615,0.000155615,0.000155615
10,326.192,0.71838,2.04786,0.93425,0.57499,0.39211,0.43004,0.37329,0.56652,1.16025,0.87512,0.000153942,0.000153942,0.000153942
11,361.791,0.72839,1.99601,0.93957,0.52728,0.41493,0.45251,0.39164,0.56086,1.16661,0.86745,0.000152269,0.000152269,0.000152269
12,396.12,0.70447,1.90609,0.92681,0.53426,0.46088,0.48852,0.42191,0.5752,1.14465,0.87908,0.000150596,0.000150596,0.000150596
13,440.585,0.70323,1.79108,0.92856,0.5222,0.52462,0.51601,0.44541,0.55777,1.0369,0.87283,0.000148923,0.000148923,0.000148923
14,488.423,0.7095,1.7558,0.93004,0.62648,0.47936,0.52708,0.45678,0.56091,1.01961,0.87488,0.00014725,0.00014725,0.00014725
15,532.138,0.70309,1.662,0.93569,0.58358,0.53449,0.55101,0.47749,0.57074,0.99025,0.88283,0.000145577,0.000145577,0.000145577
16,563.991,0.69496,1.60758,0.92935,0.53689,0.61787,0.57246,0.49531,0.54965,0.98499,0.87218,0.000143904,0.000143904,0.000143904
17,596.215,0.68007,1.53816,0.92214,0.60825,0.55352,0.58762,0.50965,0.54347,0.94292,0.86528,0.00014223,0.00014223,0.00014223
18,629.131,0.69496,1.56417,0.92418,0.57958,0.59928,0.61453,0.53309,0.55328,0.94305,0.87387,0.000140557,0.000140557,0.000140557
19,664.458,0.67988,1.45965,0.92035,0.6016,0.61586,0.61629,0.53448,0.55771,0.90556,0.87303,0.000138884,0.000138884,0.000138884
20,700.157,0.67586,1.43638,0.91442,0.70189,0.59859,0.64979,0.56539,0.55824,0.86434,0.87729,0.000137211,0.000137211,0.000137211
21,734.11,0.66377,1.37292,0.91187,0.67735,0.59333,0.64981,0.56417,0.56205,0.87311,0.87595,0.000135538,0.000135538,0.000135538
22,769.016,0.67962,1.37806,0.92553,0.71056,0.61598,0.65776,0.56876,0.56794,0.84882,0.87529,0.000133865,0.000133865,0.000133865
23,803.335,0.65467,1.26362,0.91261,0.73354,0.62603,0.67525,0.5866,0.55288,0.83263,0.86906,0.000132192,0.000132192,0.000132192
24,837.572,0.6656,1.2537,0.91742,0.75165,0.61731,0.67847,0.59094,0.54704,0.80791,0.86999,0.000130519,0.000130519,0.000130519
25,872.908,0.65909,1.26563,0.91584,0.7266,0.59435,0.66213,0.57287,0.5646,0.82379,0.87365,0.000128846,0.000128846,0.000128846
26,906.011,0.65528,1.25294,0.91386,0.67194,0.65057,0.67399,0.58626,0.55336,0.8084,0.87381,0.000127172,0.000127172,0.000127172
27,939.433,0.65831,1.19698,0.91662,0.72327,0.6476,0.69776,0.60656,0.55164,0.77228,0.8713,0.000125499,0.000125499,0.000125499
28,975.659,0.65895,1.165,0.91843,0.691,0.64429,0.6857,0.60109,0.54303,0.78979,0.86569,0.000123826,0.000123826,0.000123826
29,1010.28,0.65846,1.15548,0.90989,0.70361,0.70071,0.70481,0.61505,0.53842,0.78095,0.86226,0.000122153,0.000122153,0.000122153
30,1044.11,0.66246,1.15239,0.91989,0.73383,0.68624,0.70515,0.61606,0.53929,0.75661,0.86569,0.00012048,0.00012048,0.00012048
31,1075.99,0.6475,1.09603,0.90466,0.77076,0.66146,0.72448,0.63154,0.53342,0.76445,0.8632,0.000118807,0.000118807,0.000118807
32,1107.81,0.65142,1.09784,0.91031,0.78201,0.65922,0.73051,0.63337,0.53933,0.75932,0.86621,0.000117134,0.000117134,0.000117134
33,1140.51,0.64526,1.07043,0.91012,0.72959,0.70778,0.72458,0.63211,0.53212,0.73658,0.86146,0.000115461,0.000115461,0.000115461
34,1175.95,0.64732,1.05659,0.90969,0.77701,0.66019,0.72482,0.63122,0.54152,0.74341,0.86756,0.000113788,0.000113788,0.000113788
35,1212.75,0.6421,1.03594,0.91055,0.78066,0.67059,0.73677,0.64224,0.53654,0.73675,0.8684,0.000112115,0.000112115,0.000112115
36,1247.02,0.63777,1.01877,0.90739,0.73691,0.69723,0.74401,0.64334,0.54535,0.7209,0.86967,0.000110441,0.000110441,0.000110441
37,1279.48,0.63405,0.9905,0.90538,0.72945,0.7261,0.74595,0.64886,0.54264,0.71388,0.86635,0.000108768,0.000108768,0.000108768
38,1315.94,0.63301,0.98306,0.90093,0.76146,0.67476,0.73597,0.64145,0.539,0.71362,0.86215,0.000107095,0.000107095,0.000107095
39,1351.02,0.62672,0.95282,0.90038,0.77422,0.71046,0.74873,0.65068,0.53684,0.69929,0.86358,0.000105422,0.000105422,0.000105422
40,1387.39,0.63581,0.97907,0.90165,0.76025,0.68134,0.74485,0.64849,0.53729,0.7115,0.8654,0.000103749,0.000103749,0.000103749
41,1420.88,0.63917,0.94791,0.90245,0.80227,0.68576,0.75635,0.65772,0.53396,0.71584,0.86123,0.000102076,0.000102076,0.000102076
42,1453.48,0.63022,0.91756,0.90272,0.81206,0.70178,0.76193,0.66319,0.5315,0.6868,0.85915,0.000100403,0.000100403,0.000100403
43,1486.95,0.63332,0.91465,0.90194,0.76306,0.69634,0.75363,0.65735,0.52809,0.68032,0.85941,9.87298e-05,9.87298e-05,9.87298e-05
44,1519.69,0.62018,0.90844,0.89748,0.79423,0.72448,0.75872,0.66288,0.52688,0.67779,0.85941,9.70567e-05,9.70567e-05,9.70567e-05
45,1553.95,0.61641,0.90514,0.89887,0.81895,0.69595,0.7717,0.67274,0.53051,0.67375,0.86158,9.53836e-05,9.53836e-05,9.53836e-05
46,1589.44,0.62254,0.86222,0.89811,0.83095,0.69182,0.76907,0.66974,0.53539,0.67359,0.8652,9.37105e-05,9.37105e-05,9.37105e-05
47,1624.4,0.61614,0.8581,0.89901,0.79368,0.74923,0.77977,0.67698,0.53028,0.6514,0.86124,9.20374e-05,9.20374e-05,9.20374e-05
