epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.526,1.01126,3.50186,1.11775,0.41261,0.53624,0.46636,0.38246,0.74606,1.93678,1.09636,5.63076e-05,5.63076e-05,5.63076e-05
2,592.557,0.97207,1.82355,1.09625,0.50243,0.68057,0.62599,0.51878,0.70102,2.07974,1.08534,0.000111526,0.000111526,0.000111526
3,879.673,0.94595,1.50612,1.08852,0.7012,0.63018,0.70879,0.58465,0.73781,1.32446,1.14769,0.000165629,0.000165629,0.000165629
4,1160.1,0.93441,1.32749,1.08725,0.64002,0.71163,0.69523,0.5749,0.79872,1.43518,1.21604,0.000163981,0.000163981,0.000163981
5,1450.27,0.91434,1.19507,1.08844,0.69462,0.6938,0.75223,0.62493,0.75979,1.13196,1.15473,0.000162308,0.000162308,0.000162308
6,1762.7,0.88474,1.10261,1.06493,0.68952,0.76148,0.80243,0.67039,0.70839,1.32612,1.13061,0.000160635,0.000160635,0.000160635
7,2058.45,0.86668,1.04311,1.05963,0.78443,0.75647,0.79729,0.6728,0.70797,0.89827,1.1438,0.000158961,0.000158961,0.000158961
8,2391.01,0.83905,0.96552,1.04081,0.75773,0.78461,0.82062,0.69737,0.67716,0.92634,1.13402,0.000157288,0.000157288,0.000157288
9,2698.38,0.81447,0.94545,1.02381,0.81322,0.77665,0.84479,0.70958,0.70112,0.83397,1.14251,0.000155615,0.000155615,0.000155615
10,3010.34,0.82825,0.91546,1.03742,0.77973,0.81495,0.8424,0.70484,0.69745,0.71531,1.13458,0.000153942,0.000153942,0.000153942
11,3311.3,0.79583,0.86956,1.02362,0.8019,0.7939,0.86067,0.73073,0.65434,0.79218,1.10411,0.000152269,0.000152269,0.000152269
12,3590.71,0.7948,0.82339,1.01947,0.76171,0.84991,0.87027,0.74319,0.66742,0.72308,1.1116,0.000150596,0.000150596,0.000150596
13,3875.35,0.78064,0.79366,1.02118,0.79647,0.83032,0.87118,0.74114,0.69951,0.69215,1.13895,0.000148923,0.000148923,0.000148923
14,4148,0.76461,0.76495,1.00001,0.76965,0.84319,0.85128,0.72141,0.62621,0.73688,1.04934,0.00014725,0.00014725,0.00014725
15,4419.18,0.75906,0.75546,0.99857,0.83411,0.81673,0.87112,0.74237,0.63866,0.66432,1.081,0.000145577,0.000145577,0.000145577
16,4691.56,0.75763,0.75457,0.99151,0.79035,0.80696,0.8507,0.73215,0.63062,0.81548,1.07448,0.000143904,0.000143904,0.000143904
17,5001.51,0.74089,0.71018,0.99297,0.84184,0.80578,0.86898,0.74659,0.63692,0.73221,1.06783,0.00014223,0.00014223,0.00014223
18,5348.75,0.74257,0.6982,0.99205,0.83039,0.83196,0.88199,0.75511,0.61661,0.6406,1.0471,0.000140557,0.000140557,0.000140557
19,5680.98,0.72783,0.68071,0.9912,0.82994,0.84109,0.87899,0.75988,0.61487,0.63969,1.06932,0.000138884,0.000138884,0.000138884
20,5962.12,0.72029,0.67678,0.98077,0.84543,0.824,0.88818,0.76083,0.63309,0.65049,1.06505,0.000137211,0.000137211,0.000137211
21,6239.62,0.71177,0.67211,0.97994,0.80848,0.85944,0.88846,0.76697,0.60234,0.6703,1.03958,0.000135538,0.000135538,0.000135538
22,6519.61,0.69709,0.64139,0.96891,0.83021,0.82298,0.88925,0.76687,0.62556,0.67114,1.092,0.000133865,0.000133865,0.000133865
23,6801.26,0.71109,0.65679,0.98191,0.82028,0.85855,0.87616,0.75302,0.60494,0.6867,1.04789,0.000132192,0.000132192,0.000132192
24,7084.09,0.6958,0.62559,0.97836,0.85565,0.84581,0.88953,0.76785,0.62014,0.61016,1.05944,0.000130519,0.000130519,0.000130519
25,7364.18,0.68739,0.63043,0.97146,0.84699,0.83291,0.88908,0.76603,0.6248,0.63082,1.06611,0.000128846,0.000128846,0.000128846
26,7646.3,0.68705,0.61617,0.97685,0.83156,0.84832,0.88251,0.7604,0.6017,0.62739,1.03176,0.000127172,0.000127172,0.000127172
27,7924.48,0.67969,0.59975,0.96725,0.82037,0.85659,0.88606,0.76916,0.5952,0.56617,1.02514,0.000125499,0.000125499,0.000125499
28,8203.77,0.67891,0.59349,0.96921,0.86131,0.83041,0.88296,0.7563,0.63743,0.6067,1.06976,0.000123826,0.000123826,0.000123826
29,8485.06,0.65857,0.58898,0.94787,0.84283,0.83197,0.88312,0.76342,0.59123,0.59344,1.02632,0.000122153,0.000122153,0.000122153
30,8784.83,0.65153,0.57766,0.94985,0.856,0.83963,0.89629,0.77859,0.58372,0.55867,1.02757,0.00012048,0.00012048,0.00012048
31,9080.88,0.65027,0.56156,0.95316,0.86182,0.83093,0.89976,0.78253,0.59198,0.58724,1.03172,0.000118807,0.000118807,0.000118807
32,9377.02,0.66211,0.56923,0.95727,0.83966,0.83482,0.89326,0.77582,0.57939,0.57884,1.01703,0.000117134,0.000117134,0.000117134
33,9673.29,0.65365,0.54196,0.95174,0.82484,0.83148,0.8733,0.76142,0.55056,0.65935,0.99167,0.000115461,0.000115461,0.000115461
34,9971.98,0.6501,0.55899,0.94939,0.80475,0.84202,0.84575,0.73274,0.56723,0.89845,1.00795,0.000113788,0.000113788,0.000113788
35,10274.1,0.63222,0.5263,0.93871,0.85257,0.83344,0.88336,0.76426,0.58361,0.60942,1.00947,0.000112115,0.000112115,0.000112115
36,10572.5,0.63614,0.5533,0.94794,0.83885,0.84877,0.87457,0.75984,0.57091,0.58348,1.00998,0.000110441,0.000110441,0.000110441
37,10871.4,0.64015,0.55117,0.95299,0.85489,0.83124,0.87969,0.76705,0.57213,0.60486,1.0137,0.000108768,0.000108768,0.000108768
38,11168.7,0.61974,0.52156,0.93492,0.85818,0.83113,0.88159,0.76594,0.57828,0.57382,1.01895,0.000107095,0.000107095,0.000107095
39,11468.7,0.61435,0.50771,0.93411,0.8561,0.83696,0.8967,0.78068,0.57754,0.5517,1.01402,0.000105422,0.000105422,0.000105422
40,11767.3,0.62358,0.53109,0.94445,0.82316,0.86578,0.88077,0.76796,0.55083,0.5459,0.99014,0.000103749,0.000103749,0.000103749
41,12064.7,0.60977,0.49735,0.93767,0.86561,0.84319,0.88843,0.77356,0.5636,0.53262,1.0081,0.000102076,0.000102076,0.000102076
42,12365.6,0.61285,0.49875,0.94715,0.85294,0.87337,0.89782,0.78079,0.57073,0.53088,0.99729,0.000100403,0.000100403,0.000100403
43,12665,0.60686,0.49511,0.93466,0.86719,0.8702,0.90204,0.78805,0.55501,0.50575,0.99323,9.87298e-05,9.87298e-05,9.87298e-05
44,12963.1,0.59989,0.48026,0.9295,0.88989,0.83449,0.90582,0.78774,0.56965,0.56817,1.02102,9.70567e-05,9.70567e-05,9.70567e-05
45,13260.9,0.59794,0.48742,0.93023,0.87314,0.85201,0.89661,0.78161,0.53943,0.48923,0.97762,9.53836e-05,9.53836e-05,9.53836e-05
46,13560.3,0.58274,0.47485,0.91728,0.8524,0.86598,0.90053,0.78564,0.55421,0.51154,0.99401,9.37105e-05,9.37105e-05,9.37105e-05
47,13861.1,0.58222,0.46265,0.92344,0.8443,0.87499,0.89949,0.78138,0.54422,0.50477,0.98289,9.20374e-05,9.20374e-05,9.20374e-05
48,14159.4,0.58173,0.46745,0.92509,0.86428,0.8649,0.89735,0.7865,0.54262,0.54144,0.98134,9.03643e-05,9.03643e-05,9.03643e-05
49,14458.6,0.58025,0.46029,0.92228,0.86464,0.84803,0.89934,0.7842,0.54676,0.55198,0.99368,8.86912e-05,8.86912e-05,8.86912e-05
50,14759.6,0.57548,0.46333,0.91748,0.83763,0.85436,0.88352,0.77398,0.54599,0.64151,0.98403,8.70181e-05,8.70181e-05,8.70181e-05
51,15075.4,0.55217,0.36068,0.90927,0.85128,0.86076,0.89211,0.78267,0.5431,0.49697,0.98375,8.5345e-05,8.5345e-05,8.5345e-05
52,15372.9,0.53129,0.33731,0.90087,0.85588,0.86096,0.86963,0.76594,0.54649,0.56996,0.98226,8.36719e-05,8.36719e-05,8.36719e-05
