epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.766,0.79417,4.17669,1.00124,0.5738,0.31365,0.27481,0.23132,0.64402,2.147,0.993,5.62757e-05,5.62757e-05,5.62757e-05
2,258.723,0.77663,2.44794,0.99712,0.40462,0.46046,0.41842,0.34678,0.66466,3.46725,1.02664,0.000111494,0.000111494,0.000111494
3,394.694,0.78169,1.87494,1.00716,0.64465,0.46063,0.47596,0.3973,0.67193,2.01545,1.02374,0.000165597,0.000165597,0.000165597
4,528.526,0.78489,1.78019,1.00994,0.67313,0.56425,0.59869,0.49678,0.71354,1.46349,1.09076,0.000163981,0.000163981,0.000163981
5,660.155,0.77919,1.5092,1.01769,0.63615,0.58321,0.59551,0.4997,0.70103,1.40486,1.07315,0.000162308,0.000162308,0.000162308
6,791.61,0.78422,1.38575,1.00704,0.58078,0.57352,0.60718,0.51151,0.64798,1.90584,1.02846,0.000160635,0.000160635,0.000160635
7,934.636,0.7525,1.24447,1.00024,0.71756,0.59449,0.65689,0.55844,0.65686,2.19548,1.04313,0.000158961,0.000158961,0.000158961
8,1092.4,0.73952,1.20951,0.9961,0.66021,0.6424,0.68209,0.57195,0.68078,2.04748,1.05574,0.000157288,0.000157288,0.000157288
9,1243.4,0.74072,1.08599,0.99784,0.80627,0.59711,0.70097,0.59225,0.67343,1.68091,1.06518,0.000155615,0.000155615,0.000155615
10,1386.7,0.72287,1.0283,0.98979,0.78589,0.67231,0.74968,0.63204,0.66357,1.13048,1.05698,0.000153942,0.000153942,0.000153942
11,1536.14,0.72628,0.98687,0.98825,0.68542,0.7448,0.76031,0.64192,0.66339,1.62177,1.05851,0.000152269,0.000152269,0.000152269
12,1684.09,0.72771,1.03613,0.99851,0.78964,0.70349,0.77179,0.65801,0.65101,0.92676,1.0675,0.000150596,0.000150596,0.000150596
13,1812.59,0.71207,1.00069,0.99869,0.65288,0.70863,0.76256,0.64673,0.6496,1.46113,1.05795,0.000148923,0.000148923,0.000148923
14,1958.17,0.72254,0.99398,1.00282,0.71911,0.68603,0.77256,0.65549,0.64256,0.94482,1.08751,0.00014725,0.00014725,0.00014725
15,2091.51,0.71261,0.89934,0.99456,0.79397,0.70945,0.79653,0.68313,0.63747,0.96638,1.08159,0.000145577,0.000145577,0.000145577
16,2223.48,0.70247,0.90605,0.99317,0.75719,0.75969,0.82755,0.7056,0.63219,0.81422,1.06291,0.000143904,0.000143904,0.000143904
