epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5172,1.05902,2.21889,1.10528,0.73442,0.79275,0.80368,0.64339,0.75629,1.42682,0.96252,0.000369234,0.000369234,0.000369234
2,158.316,1.02335,1.30988,1.07789,0.79437,0.82196,0.84023,0.61061,0.96614,1.1381,1.06775,0.000732246,0.000732246,0.000732246
3,224.644,0.98802,1.05614,1.06981,0.81095,0.79942,0.83544,0.65989,0.78863,0.90736,1.02823,0.00108793,0.00108793,0.00108793
4,284.132,0.97886,0.92678,1.06251,0.83364,0.86837,0.88482,0.73299,0.66081,0.75281,0.93917,0.001078,0.001078,0.001078
5,346.515,0.94042,0.85414,1.0536,0.86364,0.87958,0.88737,0.67293,0.82719,0.77355,0.99609,0.001067,0.001067,0.001067
6,417.673,0.93629,0.81059,1.04516,0.84429,0.87902,0.89213,0.73295,0.68155,0.73899,0.94962,0.00105601,0.00105601,0.00105601
7,483.143,0.89813,0.75443,1.03317,0.86382,0.86621,0.89066,0.72377,0.71089,0.66665,0.94416,0.00104501,0.00104501,0.00104501
8,541.782,0.89212,0.72281,1.02716,0.85671,0.87561,0.90443,0.74158,0.67073,0.75287,0.94394,0.00103401,0.00103401,0.00103401
9,605.397,0.86588,0.70556,1.01558,0.86259,0.87163,0.89895,0.74846,0.65514,0.62838,0.92307,0.00102301,0.00102301,0.00102301
10,668.796,0.86466,0.6759,1.0122,0.86064,0.88896,0.90849,0.75884,0.63838,0.57753,0.91856,0.00101201,0.00101201,0.00101201
11,728.278,0.84697,0.65948,1.00605,0.86122,0.90575,0.91168,0.75169,0.67158,0.58704,0.92309,0.00100101,0.00100101,0.00100101
12,790.701,0.83617,0.64309,1.00607,0.86465,0.88838,0.90915,0.75501,0.66011,0.60873,0.92696,0.000990012,0.000990012,0.000990012
13,856.117,0.82603,0.63194,0.99592,0.82551,0.90577,0.90568,0.7601,0.63743,0.61056,0.90905,0.000979013,0.000979013,0.000979013
14,911.653,0.83248,0.62502,0.99563,0.86409,0.89876,0.90822,0.75597,0.65321,0.58641,0.91221,0.000968014,0.000968014,0.000968014
15,971.54,0.81063,0.6135,0.98731,0.87199,0.90707,0.9219,0.77315,0.62824,0.52893,0.90801,0.000957015,0.000957015,0.000957015
16,1031.76,0.80842,0.58944,0.98533,0.88788,0.90805,0.9257,0.78193,0.61524,0.5154,0.90436,0.000946016,0.000946016,0.000946016
17,1090.81,0.79903,0.59471,0.97859,0.89678,0.90904,0.91987,0.76977,0.6297,0.52588,0.91128,0.000935018,0.000935018,0.000935018
18,1146.34,0.79017,0.5826,0.97764,0.87126,0.89332,0.92836,0.78458,0.59816,0.53113,0.89788,0.000924019,0.000924019,0.000924019
19,1205.21,0.77855,0.56613,0.97295,0.88616,0.89413,0.92377,0.78493,0.59235,0.52034,0.8992,0.00091302,0.00091302,0.00091302
