epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3789,1.03942,5.01874,1.03689,0.25506,0.11355,0.06509,0.05558,0.67842,2.92583,0.89919,5.61662e-05,5.61662e-05,5.61662e-05
2,106.561,1.02069,3.87665,1.03862,0.17558,0.19775,0.15158,0.12624,0.73886,2.19179,0.93482,0.000111386,0.000111386,0.000111386
3,159.022,0.98613,3.17999,1.03571,0.18981,0.36103,0.25424,0.21888,0.62988,1.80616,0.91131,0.00016549,0.00016549,0.00016549
4,208.871,0.93335,2.75968,1.02213,0.26633,0.39198,0.33645,0.28791,0.62881,1.58342,0.90225,0.000163981,0.000163981,0.000163981
5,265.503,0.89098,2.42631,1.00172,0.34121,0.51899,0.43444,0.3726,0.62916,1.38422,0.91048,0.000162308,0.000162308,0.000162308
6,320.721,0.87175,2.14742,0.99281,0.51594,0.4392,0.50768,0.43881,0.60264,1.25951,0.88928,0.000160635,0.000160635,0.000160635
7,374.897,0.8466,1.96869,0.98199,0.46422,0.54201,0.52034,0.44806,0.60604,1.21093,0.90354,0.000158961,0.000158961,0.000158961
8,428.451,0.82396,1.81304,0.97458,0.52867,0.64585,0.59092,0.50965,0.60031,1.12451,0.90594,0.000157288,0.000157288,0.000157288
9,483.773,0.81831,1.67715,0.97307,0.54925,0.65476,0.60567,0.526,0.57121,1.0126,0.89397,0.000155615,0.000155615,0.000155615
10,537.399,0.80825,1.56185,0.97127,0.62559,0.61548,0.64226,0.55834,0.57648,0.99721,0.89397,0.000153942,0.000153942,0.000153942
11,591.713,0.78697,1.47212,0.96298,0.73542,0.60928,0.7002,0.60546,0.60156,0.8996,0.90574,0.000152269,0.000152269,0.000152269
12,645.547,0.7838,1.39498,0.96636,0.68185,0.64152,0.70669,0.60895,0.60065,0.8809,0.90314,0.000150596,0.000150596,0.000150596
13,699.522,0.77612,1.33385,0.95819,0.71419,0.65493,0.71244,0.61719,0.57643,0.84646,0.89168,0.000148923,0.000148923,0.000148923
14,753.205,0.75751,1.25517,0.95134,0.72901,0.6929,0.73985,0.64748,0.56815,0.83991,0.89683,0.00014725,0.00014725,0.00014725
15,807.652,0.75072,1.20205,0.95088,0.74483,0.67322,0.75298,0.651,0.58524,0.8033,0.90486,0.000145577,0.000145577,0.000145577
16,861.846,0.75824,1.15228,0.94834,0.7919,0.69966,0.76521,0.66486,0.56375,0.80313,0.89058,0.000143904,0.000143904,0.000143904
17,915.738,0.74141,1.10267,0.94504,0.7765,0.69526,0.77891,0.6707,0.58303,0.77049,0.8962,0.00014223,0.00014223,0.00014223
18,970.588,0.74367,1.07658,0.94638,0.8002,0.69923,0.76884,0.66286,0.58055,0.74546,0.8964,0.000140557,0.000140557,0.000140557
19,1023.12,0.72536,1.01741,0.93862,0.75194,0.74483,0.77897,0.66938,0.56915,0.76919,0.89169,0.000138884,0.000138884,0.000138884
20,1076,0.7245,0.9895,0.94183,0.79353,0.72273,0.80016,0.68957,0.57056,0.73392,0.8886,0.000137211,0.000137211,0.000137211
21,1130.4,0.71573,0.95474,0.94049,0.79339,0.73692,0.80062,0.694,0.5672,0.72421,0.88741,0.000135538,0.000135538,0.000135538
22,1182.77,0.70803,0.9332,0.93308,0.77616,0.70092,0.77521,0.6694,0.57493,0.75117,0.89513,0.000133865,0.000133865,0.000133865
23,1236.92,0.71074,0.9028,0.93405,0.76872,0.7488,0.80787,0.70147,0.56524,0.71412,0.89688,0.000132192,0.000132192,0.000132192
